,Zip_code,Date,median_price,Sale_count
256,97007,2012-06,246600.0,60.0
257,97008,2012-06,229500.0,33.0
258,97005,2012-06,181600.0,28.0
259,97003,2012-06,182800.0,28.0
260,97006,2012-07,229800.0,34.0
261,97007,2012-07,248900.0,57.0
262,97008,2012-07,231700.0,23.0
263,97005,2012-07,183900.0,22.0
264,97003,2012-07,185100.0,22.0
265,97006,2012-08,231900.0,38.0
266,97007,2012-08,251900.0,64.0
267,97008,2012-08,234700.0,32.0
268,97005,2012-08,186600.0,21.0
269,97003,2012-08,187000.0,34.0
270,97006,2012-09,233800.0,30.0
271,97007,2012-09,255200.0,64.0
272,97008,2012-09,237900.0,21.0
273,97005,2012-09,189000.0,21.0
274,97003,2012-09,189000.0,21.0
275,97006,2012-10,236500.0,50.0
276,97007,2012-10,258600.0,62.0
277,97008,2012-10,240900.0,31.0
278,97005,2012-10,191800.0,16.0
279,97003,2012-10,191600.0,22.0
280,97006,2012-11,239500.0,29.0
281,97007,2012-11,261100.0,50.0
282,97008,2012-11,243000.0,24.0
283,97005,2012-11,194100.0,16.0
284,97003,2012-11,193600.0,15.0
285,97006,2012-12,241000.0,24.0
286,97007,2012-12,261500.0,49.0
287,97008,2012-12,243600.0,20.0
288,97005,2012-12,194700.0,20.0
289,97003,2012-12,194100.0,27.0
290,97006,2013-01,242700.0,26.0
291,97007,2013-01,262500.0,43.0
292,97008,2013-01,244800.0,18.0
293,97005,2013-01,195400.0,13.0
294,97003,2013-01,194700.0,19.0
295,97006,2013-02,245500.0,27.0
296,97007,2013-02,264900.0,25.0
297,97008,2013-02,247600.0,15.0
298,97005,2013-02,197000.0,12.0
299,97003,2013-02,196400.0,18.0
300,97006,2013-03,248800.0,33.0
301,97007,2013-03,268500.0,55.0
302,97008,2013-03,251900.0,27.0
303,97005,2013-03,199900.0,18.0
304,97003,2013-03,199400.0,21.0
305,97006,2013-04,251800.0,51.0
306,97007,2013-04,272700.0,68.0
307,97008,2013-04,256900.0,30.0
308,97005,2013-04,203300.0,21.0
309,97003,2013-04,203100.0,26.0
310,97006,2013-05,254100.0,61.0
311,97007,2013-05,276400.0,91.0
312,97008,2013-05,260500.0,42.0
313,97005,2013-05,206500.0,20.0
314,97003,2013-05,206200.0,44.0
315,97006,2013-06,255800.0,69.0
316,97007,2013-06,279400.0,96.0
317,97008,2013-06,262800.0,39.0
318,97005,2013-06,209000.0,22.0
319,97003,2013-06,208400.0,42.0
320,97006,2013-07,258100.0,72.0
321,97007,2013-07,282500.0,66.0
322,97008,2013-07,265200.0,42.0
323,97005,2013-07,210900.0,36.0
324,97003,2013-07,210900.0,40.0
325,97006,2013-08,260400.0,49.0
326,97007,2013-08,284900.0,77.0
327,97008,2013-08,267500.0,45.0
328,97005,2013-08,212800.0,30.0
329,97003,2013-08,214200.0,39.0
330,97006,2013-09,261600.0,56.0
331,97007,2013-09,286600.0,70.0
332,97008,2013-09,268800.0,34.0
333,97005,2013-09,214800.0,17.0
334,97003,2013-09,216600.0,30.0
335,97006,2013-10,261900.0,40.0
336,97007,2013-10,287900.0,55.0
337,97008,2013-10,269800.0,28.0
338,97005,2013-10,216800.0,22.0
339,97003,2013-10,218100.0,27.0
340,97006,2013-11,262300.0,46.0
341,97007,2013-11,289600.0,52.0
342,97008,2013-11,271300.0,23.0
343,97005,2013-11,218600.0,19.0
344,97003,2013-11,219800.0,26.0
345,97006,2013-12,263700.0,32.0
346,97007,2013-12,292200.0,57.0
347,97008,2013-12,273800.0,31.0
348,97005,2013-12,220600.0,22.0
349,97003,2013-12,222000.0,24.0
350,97006,2014-01,265800.0,25.0
351,97007,2014-01,294800.0,41.0
352,97008,2014-01,276300.0,20.0
353,97005,2014-01,222500.0,11.0
354,97003,2014-01,224100.0,28.0
355,97006,2014-02,267100.0,28.0
356,97007,2014-02,296600.0,42.0
357,97008,2014-02,277700.0,16.0
358,97005,2014-02,223900.0,14.0
359,97003,2014-02,225400.0,17.0
360,97006,2014-03,267600.0,35.0
361,97007,2014-03,298600.0,48.0
362,97008,2014-03,278600.0,27.0
363,97005,2014-03,225400.0,20.0
364,97003,2014-03,226100.0,30.0
365,97006,2014-04,268400.0,59.0
366,97007,2014-04,301300.0,69.0
367,97008,2014-04,279900.0,26.0
368,97005,2014-04,228100.0,22.0
369,97003,2014-04,227400.0,35.0
370,97006,2014-05,269500.0,57.0
371,97007,2014-05,303700.0,72.0
372,97008,2014-05,280800.0,39.0
373,97005,2014-05,230900.0,21.0
374,97003,2014-05,228700.0,39.0
375,97006,2014-06,271100.0,66.0
376,97007,2014-06,305800.0,88.0
377,97008,2014-06,282200.0,40.0
378,97005,2014-06,233300.0,36.0
379,97003,2014-06,229300.0,47.0
380,97006,2014-07,273400.0,65.0
381,97007,2014-07,307700.0,86.0
382,97008,2014-07,284000.0,45.0
383,97005,2014-07,235100.0,37.0
384,97003,2014-07,229300.0,41.0
385,97006,2014-08,276100.0,49.0
386,97007,2014-08,309400.0,81.0
387,97008,2014-08,285100.0,41.0
388,97005,2014-08,236700.0,31.0
389,97003,2014-08,229300.0,41.0
390,97006,2014-09,278700.0,46.0
391,97007,2014-09,311000.0,77.0
392,97008,2014-09,285700.0,42.0
393,97005,2014-09,238400.0,21.0
394,97003,2014-09,230300.0,44.0
395,97006,2014-10,281300.0,68.0
396,97007,2014-10,313100.0,68.0
397,97008,2014-10,286900.0,35.0
398,97005,2014-10,240100.0,32.0
399,97003,2014-10,232200.0,46.0
400,97006,2014-11,283600.0,39.0
401,97007,2014-11,315100.0,60.0
402,97008,2014-11,288500.0,23.0
403,97005,2014-11,241300.0,24.0
404,97003,2014-11,233900.0,25.0
405,97006,2014-12,285900.0,37.0
406,97007,2014-12,316900.0,70.0
407,97008,2014-12,290400.0,39.0
408,97005,2014-12,242700.0,24.0
409,97003,2014-12,235500.0,41.0
410,97006,2015-01,288300.0,41.0
411,97007,2015-01,318600.0,57.0
412,97008,2015-01,291900.0,22.0
413,97005,2015-01,244000.0,18.0
414,97003,2015-01,237400.0,26.0
415,97006,2015-02,290800.0,39.0
416,97007,2015-02,320400.0,58.0
417,97008,2015-02,293200.0,18.0
418,97005,2015-02,246200.0,15.0
419,97003,2015-02,239700.0,29.0
420,97006,2015-03,292900.0,55.0
421,97007,2015-03,322400.0,92.0
422,97008,2015-03,295100.0,39.0
423,97005,2015-03,248600.0,32.0
424,97003,2015-03,242100.0,49.0
425,97006,2015-04,295400.0,54.0
426,97007,2015-04,325100.0,118.0
427,97008,2015-04,298200.0,45.0
428,97005,2015-04,250600.0,41.0
429,97003,2015-04,244600.0,56.0
430,97006,2015-05,298800.0,56.0
431,97007,2015-05,328300.0,93.0
432,97008,2015-05,302200.0,55.0
433,97005,2015-05,253100.0,44.0
434,97003,2015-05,247200.0,49.0
435,97006,2015-06,302300.0,71.0
