,Zip_code,Date,Sale_count
423,97005,2015-03,32.0
424,97003,2015-03,49.0
425,97006,2015-04,54.0
426,97007,2015-04,118.0
427,97008,2015-04,45.0
428,97005,2015-04,41.0
429,97003,2015-04,56.0
430,97006,2015-05,56.0
431,97007,2015-05,93.0
432,97008,2015-05,55.0
433,97005,2015-05,44.0
434,97003,2015-05,49.0
435,97006,2015-06,71.0
436,97007,2015-06,116.0
437,97008,2015-06,55.0
438,97005,2015-06,29.0
439,97003,2015-06,64.0
440,97006,2015-07,79.0
441,97007,2015-07,134.0
442,97008,2015-07,64.0
443,97005,2015-07,37.0
444,97003,2015-07,73.0
445,97006,2015-08,59.0
446,97007,2015-08,98.0
447,97008,2015-08,52.0
448,97005,2015-08,35.0
449,97003,2015-08,59.0
450,97006,2015-09,71.0
451,97007,2015-09,105.0
452,97008,2015-09,49.0
453,97005,2015-09,33.0
454,97003,2015-09,79.0
455,97006,2015-10,63.0
456,97007,2015-10,89.0
457,97008,2015-10,30.0
458,97005,2015-10,43.0
459,97003,2015-10,47.0
460,97006,2015-11,60.0
461,97007,2015-11,83.0
462,97008,2015-11,39.0
463,97005,2015-11,16.0
464,97003,2015-11,31.0
465,97006,2015-12,58.0
466,97007,2015-12,82.0
467,97008,2015-12,47.0
468,97005,2015-12,19.0
469,97003,2015-12,47.0
470,97006,2016-01,48.0
471,97007,2016-01,60.0
472,97008,2016-01,27.0
473,97005,2016-01,22.0
474,97003,2016-01,43.0
475,97006,2016-02,65.0
476,97007,2016-02,53.0
477,97008,2016-02,34.0
478,97005,2016-02,19.0
479,97003,2016-02,24.0
480,97006,2016-03,75.0
481,97007,2016-03,98.0
482,97008,2016-03,49.0
483,97005,2016-03,33.0
484,97003,2016-03,33.0
485,97006,2016-04,52.0
486,97007,2016-04,80.0
487,97008,2016-04,37.0
488,97005,2016-04,37.0
489,97003,2016-04,51.0
490,97006,2016-05,90.0
491,97007,2016-05,106.0
492,97008,2016-05,49.0
493,97005,2016-05,28.0
494,97003,2016-05,45.0
495,97006,2016-06,69.0
496,97007,2016-06,98.0
497,97008,2016-06,46.0
498,97005,2016-06,33.0
499,97003,2016-06,55.0
500,97006,2016-07,79.0
501,97007,2016-07,94.0
502,97008,2016-07,45.0
503,97005,2016-07,38.0
504,97003,2016-07,65.0
505,97006,2016-08,79.0
506,97007,2016-08,124.0
507,97008,2016-08,45.0
508,97005,2016-08,35.0
509,97003,2016-08,58.0
510,97006,2016-09,54.0
511,97007,2016-09,101.0
512,97008,2016-09,63.0
513,97005,2016-09,36.0
514,97003,2016-09,50.0
515,97006,2016-10,74.0
516,97007,2016-10,82.0
517,97008,2016-10,35.0
518,97005,2016-10,35.0
519,97003,2016-10,49.0
520,97006,2016-11,72.0
521,97007,2016-11,77.0
522,97008,2016-11,42.0
523,97005,2016-11,22.0
524,97003,2016-11,35.0
525,97006,2016-12,62.0
526,97007,2016-12,100.0
527,97008,2016-12,30.0
528,97005,2016-12,31.0
529,97003,2016-12,41.0
530,97006,2017-01,35.0
531,97007,2017-01,52.0
532,97008,2017-01,25.0
533,97005,2017-01,26.0
534,97003,2017-01,35.0
535,97006,2017-02,45.0
536,97007,2017-02,68.0
537,97008,2017-02,34.0
538,97005,2017-02,25.0
539,97003,2017-02,34.0
540,97006,2017-03,45.0
541,97007,2017-03,88.0
542,97008,2017-03,41.0
543,97005,2017-03,31.0
544,97003,2017-03,43.0
545,97006,2017-04,57.0
546,97007,2017-04,76.0
547,97008,2017-04,29.0
548,97005,2017-04,27.0
549,97003,2017-04,38.0
550,97006,2017-05,65.0
551,97007,2017-05,99.0
552,97008,2017-05,40.0
553,97005,2017-05,35.0
554,97003,2017-05,52.0
555,97006,2017-06,77.0
556,97007,2017-06,121.0
557,97008,2017-06,45.0
558,97005,2017-06,25.0
559,97003,2017-06,63.0
560,97006,2017-07,47.0
561,97007,2017-07,94.0
562,97008,2017-07,48.0
563,97005,2017-07,32.0
564,97003,2017-07,41.0
565,97006,2017-08,73.0
566,97007,2017-08,86.0
567,97008,2017-08,51.0
568,97005,2017-08,48.0
569,97003,2017-08,41.0
570,97006,2017-09,58.0
571,97007,2017-09,88.0
572,97008,2017-09,33.0
573,97005,2017-09,33.0
574,97003,2017-09,45.0
575,97006,2017-10,60.0
576,97007,2017-10,92.0
577,97008,2017-10,46.0
578,97005,2017-10,28.0
579,97003,2017-10,32.0
580,97006,2017-11,55.0
581,97007,2017-11,69.0
582,97008,2017-11,34.0
583,97005,2017-11,38.0
584,97003,2017-11,38.0
585,97006,2017-12,53.0
586,97007,2017-12,77.0
587,97008,2017-12,45.0
588,97005,2017-12,25.0
589,97003,2017-12,43.0
590,97006,2018-01,39.0
591,97007,2018-01,33.0
592,97008,2018-01,23.0
593,97005,2018-01,19.0
594,97003,2018-01,23.0
595,97006,2018-02,44.0
596,97007,2018-02,72.0
597,97008,2018-02,19.0
598,97005,2018-02,19.0
599,97003,2018-02,35.0
600,97006,2018-03,54.0
601,97007,2018-03,92.0
602,97008,2018-03,25.0
603,97005,2018-03,37.0
604,97003,2018-03,43.0
605,97006,2018-04,64.0
606,97007,2018-04,83.0
607,97008,2018-04,30.0
608,97005,2018-04,35.0
609,97003,2018-04,43.0
610,97006,2018-05,66.0
611,97007,2018-05,91.0
612,97008,2018-05,44.0
613,97005,2018-05,45.0
614,97003,2018-05,43.0
615,97006,2018-06,56.0
616,97007,2018-06,105.0
617,97008,2018-06,57.0
618,97005,2018-06,28.0
619,97003,2018-06,69.0
620,97006,2018-07,55.0
621,97007,2018-07,66.0
622,97008,2018-07,43.0
623,97005,2018-07,35.0
624,97003,2018-07,54.0
625,97006,2018-08,80.0
626,97007,2018-08,95.0
627,97008,2018-08,48.0
